Titulo,Sku,Precios Originales,Precios Descuentos,Precios Envio,Stock
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$4,962.00","$3,949.00",Envío gratis,54
"Tarjeta de Video ASUS NVIDIA GeForce GTX 1660 SUPER Phoenix OC, 6GB 192-bit GDDR6, PCI Express 3.0",90YV0DT0-M0AA00,"$5,696.00","$4,959.00",Envío gratis,4
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$6,583.00","$5,899.00",Envío gratis,25
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1650 OC, 4GB 128-bit GDDR6, PCI Express 3.0 x16",GV-N1656OC-4GD,"$3,956.00","$3,029.00",$99.00,51
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,080.00","$5,509.00",Envío gratis,26
"Tarjeta de Video MSI NVIDIA GeForce RTX 4070 Ti GAMING X TRIO, 12GB 192-bit GDDR6X, PCI Express 4.0",RTX 4070 TI GAMING X TRIO 12G,"$18,624.00","$16,899.00",$99.00,26
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3050-O8G,"$6,046.00","$5,039.00",$99.00,4
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 2060 D6 6G (rev. 2.0), 6GB 192-bit GDDR6, PCI Express x16 3.0",GV-N2060D6-6GD REV2.0,"$9,394.00","$8,329.00",$99.00,3
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$6,260.00","$5,449.00",Envío gratis,87
"Tarjeta de Video Gigabyte GeForce RTX 3060 Eagle OC, 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060EAGLE OC-12GD,"$7,514.00","$6,639.00",$99.00,2
"Tarjeta de Video MSI NVIDIA GeForce RTX 4080 16GB Ventus 3X OC, 16GB 256-bit GDDR6X, PCI Express 4.0",RTX 4080 16GB VENTUS 3X OC,"$24,709.00","$23,409.00",$99.00,15
"Tarjeta de Video ASUS NVIDIA GeForce GTX 1650 SUPER TUF Gaming, 4GB 128-bit GDDR6, PCI Express 3.0",90YV0E43-M0NA00,"$4,361.00","$3,889.00",Envío gratis,109
"Tarjeta de Video AMD Radeon Pro WX 2100, 2GB 64-bit GDDR5, PCI Express x16 3.0",100-506001,"$3,269.00","$2,779.00",$99.00,34
"Tarjeta de Video ASUS NVIDIA TUF Gaming GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HM4-M0AA00,"$7,048.00","$6,009.00",Envío gratis,5
"Tarjeta de Video Sapphire NITRO+ AMD Radeon RX 6650 XT GAMING, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",11319-01-20G,"$7,959.00","$6,979.00",$99.00,11
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 4080 16GB GAMING OC, 16GB 256-bit GDDR6X, PCI Express 4.0",GV-N4080GAMING OC-16GD,"$25,958.00","$24,649.00",$99.00,33
"Tarjeta de Video ASUS TUF Gaming NVIDIA GeForce GTX 1660 SUPER, 6GB 192-bit GDDR6, PCI Express 3.0",TUF-GTX1660S-6G-GAMING,"$5,419.00","$4,659.00",$99.00,8
